Word,Frequency,Letters_Number,Unique_Letters_number,Difference,Tokens_Number,Tokens_gpt4o-mini,GPT4o-mini_IFCorrect
parking,34672915,7,7,0,2,park ing,1
headlines,34646214,9,8,1,2,head lines,0
yesterday,34639311,9,7,2,2,y esterday,0
compared,34638205,8,8,0,2,comp ared,1
determined,34600925,10,7,3,2,d etermined,0
wholesale,34597350,9,7,2,2,wh olesale,0
workshop,34531832,8,7,1,2,work shop,0
russia,34513420,6,5,1,2,r ussia,0
gone,34511028,4,4,0,1,gone,1
codes,34503537,5,5,0,1,codes,1
kinds,34482138,5,5,0,2,k inds,1
extension,34464199,9,7,2,1,extension,0
seattle,34427671,7,5,2,2,se attle,0
statements,34416902,10,6,4,1,statements,0
golden,34416555,6,6,0,1,golden,1
completely,34385075,10,8,2,2,com pletely,0
teams,34383288,5,5,0,1,teams,1
fort,34358210,4,4,0,1,fort,1
cm,34312385,2,2,0,1,cm,1
wi,34305144,2,2,0,1,wi,1
lighting,34304870,8,6,2,2,light ing,0
senate,34302775,6,5,1,2,sen ate,0
forces,34300503,6,6,0,1,forces,1
funny,34281806,5,4,1,2,fun ny,1
brother,34273892,7,6,1,2,bro ther,1
gene,34266155,4,3,1,1,gene,1
turned,34215128,6,6,0,1,turned,1
portable,34207743,8,8,0,2,port able,1
tried,34201786,5,5,0,2,tr ied,1
electrical,34176498,10,7,3,2,elect rical,0
applicable,34173309,10,7,3,2,app licable,0
disc,34140094,4,4,0,1,disc,1
returned,34138333,8,6,2,1,returned,0
pattern,34124878,7,6,1,1,pattern,1
ct,34123861,2,2,0,1,ct,1
hentai,34116380,6,6,0,2,h entai,1
boat,34104031,4,4,0,1,boat,1
named,34099544,5,5,0,1,named,1
theatre,34095301,7,5,2,2,the atre,1
laser,34080740,5,5,0,2,l aser,1
earlier,34079706,7,5,2,2,ear lier,0
manufacturers,34073462,13,10,3,2,manufact urers,0
sponsor,33988132,7,5,2,1,sponsor,0
classical,33957503,9,5,4,2,class ical,0
icon,33955393,4,4,0,1,icon,1
warranty,33921186,8,6,2,2,w arranty,0
dedicated,33916569,9,6,3,2,ded icated,0
indiana,33897228,7,4,3,2,ind iana,0
direction,33868571,9,8,1,1,direction,0
harry,33867934,5,4,1,2,h arry,1
basketball,33848810,10,7,3,2,basket ball,0
objects,33845165,7,7,0,1,objects,1
ends,33798717,4,4,0,1,ends,1
delete,33766846,6,4,2,1,delete,0
evening,33705304,7,5,2,2,even ing,1
assembly,33704254,8,7,1,1,assembly,1
nuclear,33689967,7,7,0,2,n uclear,1
taxes,33674672,5,5,0,2,tax es,1
mouse,33667003,5,5,0,1,mouse,1
signal,33648212,6,6,0,1,signal,0
criminal,33646918,8,7,1,1,criminal,0
issued,33644425,6,5,1,1,issued,0
brain,33612784,5,5,0,1,brain,1
sexual,33595660,6,6,0,1,sexual,1
wisconsin,33592434,9,6,3,2,wis consin,0
powerful,33538932,8,8,0,2,power ful,1
dream,33518573,5,5,0,1,dream,1
obtained,33486258,8,8,0,3,ob t ained,1
FALSE,33476460,5,5,0,1,FALSE,1
da,33450232,2,2,0,1,da,1
cast,33395024,4,4,0,1,cast,1
flower,33364539,6,6,0,1,flower,1
felt,33321821,4,4,0,1,felt,1
personnel,33277887,9,7,2,2,person nel,0
passed,33242084,6,5,1,1,passed,1
supplied,33239429,8,7,1,2,sup plied,0
identified,33222080,10,6,4,1,identified,0
falls,33213513,5,4,1,1,falls,1
pic,33210991,3,3,0,1,pic,1
soul,33173763,4,4,0,2,s oul,1
aids,33155753,4,4,0,2,a ids,1
opinions,33135354,8,5,3,2,op inions,0
promote,33113081,7,6,1,2,prom ote,0
stated,33100777,6,5,1,2,st ated,1
stats,33096627,5,3,2,1,stats,0
hawaii,33075697,6,4,2,2,h awaii,1
professionals,33070733,13,10,3,2,profession als,0
appears,33068735,7,5,2,2,appe ars,1
carry,33056477,5,4,1,1,carry,1
flag,33050354,4,4,0,1,flag,1
decided,33030803,7,4,3,2,dec ided,0
nj,33014240,2,2,0,1,nj,1
covers,32972573,6,6,0,1,covers,1
hr,32969615,2,2,0,1,hr,1
em,32964905,2,2,0,1,em,1
advantage,32963469,9,7,2,2,adv antage,0
hello,32960381,5,4,1,1,hello,1
designs,32955678,7,6,1,2,design s,0
maintain,32942067,8,5,3,2,maint ain,0
tourism,32925132,7,7,0,2,tour ism,1
priority,32917021,8,6,2,1,priority,0
newsletters,32868357,11,7,4,2,news letters,0
adults,32847475,6,6,0,2,adult s,1
clips,32846497,5,5,0,2,cl ips,1
savings,32817684,7,6,1,2,s avings,1
iv,32807831,2,2,0,1,iv,1
graphic,32780694,7,7,0,1,graphic,1
atom,32776867,4,4,0,1,atom,1
payments,32757146,8,8,0,1,payments,1
rw,32739652,2,2,0,1,rw,1
estimated,32731518,9,7,2,1,estimated,1
binding,32603649,7,5,2,1,binding,1
brief,32599674,5,5,0,1,brief,1
ended,32588866,5,3,2,1,ended,1
winning,32570914,7,4,3,2,win ning,0
eight,32567724,5,5,0,1,eight,1
anonymous,32563033,9,7,2,1,anonymous,0
iron,32552371,4,4,0,1,iron,1
straight,32551647,8,7,1,1,straight,0
script,32549924,6,6,0,1,script,1
served,32541796,6,5,1,2,s erved,1
wants,32538214,5,5,0,2,w ants,1
miscellaneous,32502581,13,10,3,2,misc ellaneous,0
prepared,32502271,8,5,3,1,prepared,0
void,32491126,4,4,0,1,void,1
dining,32489479,6,4,2,2,d ining,1
alert,32472727,5,5,0,1,alert,1
integration,32462658,11,8,3,1,integration,0
atlanta,32440124,7,4,3,2,atl anta,0
dakota,32437534,6,5,1,3,d ak ota,1
tag,32432108,3,3,0,1,tag,1
interview,32430752,9,7,2,2,int erview,0
mix,32428241,3,3,0,1,mix,1
framework,32421841,9,8,1,1,framework,0
disk,32375647,4,4,0,1,disk,1
installed,32372686,9,8,1,1,installed,0
queen,32366847,5,4,1,1,queen,1
vhs,32362671,3,3,0,2,v hs,1
credits,32341959,7,7,0,1,credits,1
clearly,32338676,7,6,1,2,clear ly,0
fix,32334055,3,3,0,1,fix,1
handle,32318665,6,6,0,1,handle,1
sweet,32311923,5,4,1,1,sweet,1
desk,32311444,4,4,0,1,desk,1
criteria,32302695,8,6,2,1,criteria,0
pubmed,32296902,6,6,0,2,pub med,1
dave,32281596,4,4,0,2,d ave,1
massachusetts,32270027,13,8,5,2,mass achusetts,0
diego,32238555,5,5,0,2,die go,1
hong,32225582,4,4,0,2,h ong,1
vice,32220446,4,4,0,1,vice,1
associate,32217516,9,7,2,1,associate,0
ne,32142023,2,2,0,1,ne,1
truck,32136249,5,5,0,1,truck,1
behavior,32128221,8,8,0,1,behavior,0
enlarge,32120976,7,6,1,2,en large,0
ray,32113994,3,3,0,1,ray,1
frequently,32113462,10,9,1,2,f requently,1
revenue,32088216,7,5,2,2,re venue,0
measure,32083783,7,6,1,1,measure,1
changing,32076618,8,6,2,1,changing,0
votes,32059663,5,5,0,1,votes,1
du,32025637,2,2,0,1,du,1
duty,32011339,4,4,0,2,d uty,1
looked,31988351,6,5,1,2,look ed,0
discussions,31985694,11,7,4,2,disc ussions,0
bear,31981362,4,4,0,1,bear,1
gain,31980198,4,4,0,1,gain,1
festival,31964569,8,8,0,2,f estival,1
laboratory,31956885,10,7,3,3,l abor atory,0
ocean,31928741,5,5,0,2,o cean,1
flights,31927886,7,7,0,2,fl ights,1
experts,31923825,7,6,1,2,exp erts,1
signs,31899467,5,4,1,2,sign s,1
lack,31881925,4,4,0,2,l ack,1
depth,31879926,5,5,0,1,depth,1
iowa,31875822,4,4,0,2,i owa,1
whatever,31869767,8,7,1,1,whatever,0
logged,31869263,6,5,1,1,logged,0
laptop,31851245,6,5,1,2,l aptop,1
vintage,31830831,7,7,0,2,v intage,1
train,31816971,5,5,0,1,train,0
exactly,31759653,7,7,0,2,ex actly,1
dry,31744277,3,3,0,1,dry,1
explore,31740200,7,6,1,2,exp lore,0
maryland,31715238,8,7,1,2,mary land,1
spa,31714574,3,3,0,1,spa,1
concept,31681353,7,6,1,1,concept,0
nearly,31677743,6,6,0,2,n early,1
eligible,31666767,8,5,3,1,eligible,0
checkout,31649089,8,7,1,1,checkout,0
reality,31626554,7,7,0,2,re ality,1
forgot,31626338,6,5,1,1,forgot,0
handling,31623717,8,7,1,1,handling,1
origin,31602843,6,5,1,1,origin,0
knew,31598395,4,4,0,2,k new,1
gaming,31594394,6,5,1,2,g aming,1
feeds,31593736,5,4,1,1,feeds,1
billion,31586983,7,5,2,2,b illion,1
destination,31563774,11,8,3,1,destination,0
scotland,31551032,8,8,0,2,sc otland,1
faster,31541236,6,6,0,2,f aster,1
intelligence,31533328,12,7,5,1,intelligence,0
dallas,31528739,6,4,2,2,d allas,0
bought,31501377,6,6,0,2,b ought,1
con,31452344,3,3,0,1,con,1
ups,31451966,3,3,0,1,ups,1
nations,31449713,7,6,1,2,n ations,1
route,31439231,5,5,0,1,route,1
followed,31437587,8,6,2,2,follow ed,0
specifications,31435888,14,10,4,2,spec ifications,0
broken,31399439,6,6,0,1,broken,1
tripadvisor,31394750,11,9,2,2,trip advisor,0
frank,31392284,5,5,0,2,fr ank,1
alaska,31388580,6,4,2,2,al aska,1
zoom,31373629,4,3,1,1,zoom,1
blow,31344495,4,4,0,2,bl ow,1
battle,31344458,6,5,1,1,battle,1
residential,31337029,11,9,2,2,res idential,0
anime,31334688,5,5,0,1,anime,0
speak,31324712,5,5,0,2,s peak,0
decisions,31321172,9,7,2,2,dec isions,0
industries,31316683,10,8,2,3,ind ust ries,0
protocol,31296886,8,6,2,1,protocol,0
query,31284313,5,5,0,1,query,0
clip,31264432,4,4,0,1,clip,1
partnership,31235192,11,9,2,2,partners hip,0
editorial,31234178,9,8,1,2,editor ial,0
nt,31198810,2,2,0,1,nt,1
expression,31179707,10,8,2,1,expression,0
es,31169475,2,2,0,1,es,1
equity,31158626,6,6,0,2,equ ity,1
provisions,31126350,10,7,3,2,pro visions,0
speech,31119662,6,5,1,1,speech,1
wire,31113149,4,4,0,1,wire,1
principles,31050339,10,8,2,3,pr incip les,0
suggestions,31029622,11,8,3,2,s uggestions,0
rural,30998929,5,4,1,2,r ural,0
shared,30988860,6,6,0,1,shared,1
sounds,30987278,6,5,1,1,sounds,0
replacement,30981707,11,9,2,1,replacement,0
tape,30941382,4,4,0,1,tape,1
strategic,30930763,9,8,1,2,str ategic,0
judge,30905832,5,5,0,1,judge,1
spam,30881361,4,4,0,1,spam,1
economics,30869591,9,7,2,2,e conomics,0
acid,30867887,4,4,0,1,acid,1
bytes,30848384,5,5,0,1,bytes,1
cent,30836935,4,4,0,1,cent,1
forced,30835043,6,6,0,1,forced,1
compatible,30811666,10,10,0,1,compatible,0
fight,30784313,5,5,0,1,fight,1
apartment,30771172,9,7,2,2,ap artment,1
height,30745406,6,5,1,1,height,0
null,30739157,4,3,1,1,null,0
zero,30735412,4,4,0,1,zero,1
speaker,30732820,7,6,1,1,speaker,1
filed,30718907,5,5,0,2,file d,1
gb,30697884,2,2,0,1,gb,1
netherlands,30672254,11,9,2,2,n etherlands,0
obtain,30672052,6,6,0,2,ob tain,1
bc,30670787,2,2,0,1,bc,1
consulting,30662624,10,9,1,2,consult ing,1
recreation,30662263,10,8,2,2,re creation,1
offices,30646750,7,6,1,2,off ices,1
designer,30641959,8,7,1,2,design er,1
remain,30630717,6,6,0,1,remain,1
managed,30602103,7,6,1,1,managed,1
pr,30599220,2,2,0,1,pr,1
failed,30596963,6,6,0,1,failed,1
marriage,30592140,8,6,2,2,mar riage,1
roll,30590349,4,3,1,1,roll,1
korea,30582894,5,5,0,2,k orea,1
banks,30582183,5,5,0,1,banks,1
fr,30563000,2,2,0,1,fr,1
participants,30557763,12,8,4,1,participants,0
secret,30542047,6,5,1,1,secret,1
bath,30537308,4,4,0,2,b ath,1
aa,30523331,2,1,1,1,aa,1
kelly,30510238,5,4,1,2,k elly,1
leads,30507300,5,5,0,1,leads,1
negative,30504487,8,7,1,1,negative,1
austin,30477225,6,6,0,2,a ustin,1
favorites,30465854,9,9,0,1,favorites,1
toronto,30462849,7,4,3,2,tor onto,0
theater,30446816,7,5,2,2,the ater,1
springs,30429116,7,6,1,2,spr ings,1
missouri,30419845,8,6,2,2,miss ouri,0
andrew,30403300,6,6,0,2,and rew,1
var,30384128,3,3,0,1,var,1
perform,30378944,7,6,1,1,perform,0
healthy,30360623,7,6,1,1,healthy,0
translation,30346495,11,8,3,1,translation,0
estimates,30336472,9,6,3,2,est imates,0
font,30327965,4,4,0,1,font,1
assets,30302586,6,4,2,1,assets,0
injury,30291773,6,6,0,2,in jury,1
mt,30286047,2,2,0,1,mt,1
joseph,30285903,6,6,0,3,j ose ph,1
ministry,30275714,8,7,1,2,min istry,0
drivers,30258628,7,6,1,1,drivers,1
lawyer,30253229,6,6,0,2,law yer,1
figures,30231772,7,7,0,1,figures,1
married,30202662,7,6,1,1,married,1
protected,30198768,9,7,2,1,protected,0
proposal,30189304,8,6,2,1,proposal,0
sharing,30181027,7,7,0,1,sharing,1
philadelphia,30179898,12,7,5,2,phil adelphia,0
portal,30171660,6,6,0,1,portal,1
waiting,30170505,7,6,1,1,waiting,0
birthday,30169763,8,8,0,1,birthday,0
beta,30160524,4,4,0,1,beta,1
fail,30145364,4,4,0,1,fail,1
gratis,30144426,6,6,0,1,gratis,1
banking,30095341,7,6,1,2,bank ing,1
officials,30068859,9,7,2,2,official s,0
brian,30060564,5,5,0,2,b rian,1
toward,30024561,6,6,0,2,t oward,1
won,29998103,3,3,0,1,won,1
slightly,29994840,8,7,1,2,sl ightly,0
assist,29963782,6,4,2,1,assist,0
conduct,29955541,7,6,1,1,conduct,1
contained,29955043,9,8,1,1,contained,1
lingerie,29949923,8,6,2,2,ling erie,0
shemale,29948582,7,6,1,2,sh emale,1
legislation,29932251,11,9,2,2,leg islation,0
calling,29923380,7,6,1,1,calling,0
parameters,29922419,10,7,3,1,parameters,0
jazz,29920842,4,3,1,2,j azz,1
serving,29916558,7,7,0,2,s erving,1
bags,29910659,4,4,0,1,bags,1
profiles,29909230,8,8,0,1,profiles,0
miami,29904805,5,3,2,2,m iami,1
comics,29900765,6,5,1,2,com ics,0
matters,29896961,7,6,1,2,m atters,1
houses,29896478,6,5,1,1,houses,1
doc,29867704,3,3,0,1,doc,1
postal,29859679,6,6,0,1,postal,1
relationships,29850322,13,11,2,1,relationships,0
tennessee,29848404,9,4,5,3,ten nes see,0
wear,29846762,4,4,0,1,wear,1
controls,29841307,8,7,1,1,controls,0
breaking,29841004,8,8,0,1,breaking,1
combined,29840482,8,8,0,1,combined,0
ultimate,29825206,8,7,1,1,ultimate,1
wales,29821525,5,5,0,2,w ales,1
representative,29810467,14,9,5,2,represent ative,0
frequency,29808486,9,8,1,1,frequency,0
introduced,29783908,10,9,1,2,int roduced,0
minor,29782623,5,5,0,1,minor,0
finish,29769825,6,5,1,1,finish,0
departments,29768415,11,9,2,1,departments,0
residents,29765553,9,7,2,2,res idents,0
noted,29754565,5,5,0,2,not ed,1
displayed,29751963,9,8,1,2,display ed,0
mom,29736214,3,2,1,1,mom,1
reduced,29726540,7,5,2,2,re duced,0
physics,29724803,7,6,1,1,physics,0
rare,29722959,4,3,1,2,r are,1
spent,29719451,5,5,0,1,spent,1
performed,29714621,9,7,2,2,per formed,0
extreme,29694906,7,5,2,2,ext reme,0
samples,29689694,7,6,1,1,samples,0
davis,29689352,5,5,0,2,d avis,1
daniel,29680403,6,6,0,2,d aniel,1
bars,29674439,4,4,0,1,bars,1
reviewed,29665969,8,6,2,2,review ed,0
row,29649598,3,3,0,1,row,1
oz,29644419,2,2,0,1,oz,1
forecast,29637380,8,8,0,1,forecast,1
removed,29610178,7,6,1,1,removed,0
helps,29607993,5,5,0,2,help s,1
singles,29594915,7,6,1,2,s ingles,0
administrator,29589707,13,9,4,1,administrator,0
cycle,29585286,5,4,1,1,cycle,0
amounts,29584436,7,7,0,2,amount s,1
contain,29552509,7,6,1,1,contain,1
accuracy,29536020,8,5,3,1,accuracy,0
dual,29535368,4,4,0,2,d ual,1
rise,29535295,4,4,0,1,rise,1
usd,29527576,3,3,0,2,us d,1
sleep,29491537,5,4,1,1,sleep,1
mg,29456015,2,2,0,1,mg,1
bird,29437150,4,4,0,1,bird,1
pharmacy,29392223,8,7,1,2,ph armacy,0
brazil,29390369,6,6,0,2,b razil,1
creation,29390035,8,8,0,1,creation,0
static,29389905,6,5,1,1,static,0
scene,29372413,5,4,1,1,scene,1
hunter,29368718,6,6,0,1,hunter,1
addresses,29368459,9,5,4,1,addresses,0
lady,29348297,4,4,0,2,l ady,1
crystal,29344419,7,7,0,2,cr ystal,1
famous,29332023,6,6,0,2,f amous,1
writer,29320566,6,5,1,1,writer,1
chairman,29312635,8,7,1,2,chair man,1
violence,29309829,8,7,1,2,viol ence,1
fans,29290170,4,4,0,1,fans,1
oklahoma,29277458,8,6,2,2,ok lahoma,1
speakers,29266983,8,6,2,2,spe akers,0
drink,29254937,5,5,0,1,drink,1
academy,29252165,7,6,1,2,acad emy,1
dynamic,29251538,7,7,0,1,dynamic,1
gender,29248973,6,5,1,1,gender,1
eat,29237400,3,3,0,1,eat,1
permanent,29217998,9,7,2,1,permanent,1
agriculture,29217130,11,9,2,3,ag ric ulture,0
dell,29215534,4,3,1,2,d ell,1
cleaning,29202463,8,7,1,2,clean ing,1
constitutes,29158454,11,8,3,3,const it utes,0
portfolio,29149729,9,7,2,1,portfolio,0
practical,29138914,9,7,2,2,pr actical,0
delivered,29130416,9,6,3,2,del ivered,1
collectibles,29127157,12,8,4,2,collect ibles,0
infrastructure,29090274,14,10,4,2,inf rastructure,0
exclusive,29069478,9,8,1,1,exclusive,0
seat,29066336,4,4,0,1,seat,1
concerns,29065609,8,6,2,3,con cern s,0
colour,29049269,6,5,1,1,colour,0
vendor,29029083,6,6,0,1,vendor,1
originally,29016923,10,8,2,2,origin ally,0
intel,28995654,5,5,0,1,intel,1
utilities,28965893,9,6,3,1,utilities,0
philosophy,28960643,10,7,3,3,phil osoph y,0
regulation,28958148,10,10,0,2,reg ulation,0
officers,28955126,8,7,1,2,off icers,1
reduction,28954254,9,9,0,2,re duction,0
aim,28951240,3,3,0,1,aim,1
bids,28933427,4,4,0,2,b ids,1
referred,28919199,8,4,4,2,re ferred,0
supports,28913894,8,6,2,1,supports,0
nutrition,28890368,9,6,3,1,nutrition,0
recording,28875301,9,8,1,2,rec ording,1
regions,28864370,7,7,0,1,regions,1
junior,28857539,6,6,0,2,jun ior,0
toll,28852223,4,3,1,2,t oll,1
les,28848836,3,3,0,1,les,1
cape,28846176,4,4,0,1,cape,1
ann,28832058,3,2,1,1,ann,1
rings,28827859,5,5,0,2,r ings,1
meaning,28821231,7,6,1,1,meaning,0
tip,28810209,3,3,0,1,tip,1
secondary,28805149,9,9,0,1,secondary,0
wonderful,28796607,9,9,0,3,w onder ful,1
mine,28795477,4,4,0,1,mine,1
ladies,28781917,6,6,0,2,l adies,1
henry,28769085,5,5,0,2,hen ry,1
ticket,28767435,6,5,1,1,ticket,1
announced,28744210,9,7,2,2,ann ounced,0
guess,28743465,5,4,1,1,guess,0
agreed,28717540,6,5,1,2,ag reed,1
prevention,28681929,10,8,2,2,pre vention,0
whom,28678568,4,4,0,2,wh om,1
ski,28663800,3,3,0,1,ski,1
soccer,28647229,6,5,1,2,soc cer,1
math,28631905,4,4,0,1,math,1
import,28629840,6,6,0,1,import,1
posting,28612921,7,7,0,1,posting,1
presence,28603257,8,6,2,1,presence,0
instant,28599930,7,5,2,1,instant,1
mentioned,28566238,9,7,2,1,mentioned,1
automatic,28551016,9,7,2,1,automatic,1
healthcare,28529648,10,7,3,2,health care,0
viewing,28507347,7,6,1,2,view ing,0
maintained,28492421,10,7,3,2,maint ained,0
ch,28470221,2,2,0,1,ch,1
increasing,28456941,10,8,2,2,incre asing,0
majority,28456588,8,8,0,2,major ity,1
connected,28448231,9,6,3,1,connected,0
christ,28404515,6,6,0,1,christ,1
dan,28401202,3,3,0,1,dan,1
dogs,28400362,4,4,0,1,dogs,1
sd,28394298,2,2,0,1,sd,1
directors,28389161,9,8,1,2,direct ors,1
aspects,28377709,7,6,1,2,as pects,1
austria,28377245,7,6,1,2,a ustria,1
ahead,28375319,5,4,1,1,ahead,1
moon,28374261,4,3,1,1,moon,1
participation,28366095,13,8,5,2,part icipation,0
scheme,28309089,6,5,1,1,scheme,0
utility,28301196,7,5,2,1,utility,0
preview,28294286,7,6,1,1,preview,0
fly,28279478,3,3,0,1,fly,1
manner,28268864,6,5,1,2,m anner,0
matrix,28268147,6,6,0,1,matrix,1
containing,28254166,10,7,3,2,cont aining,0
combination,28247444,11,8,3,1,combination,0
devel,28152649,5,4,1,2,de vel,1
amendment,28151500,9,6,3,2,am endment,0
despite,28148989,7,6,1,2,des pite,0
strength,28148438,8,7,1,1,strength,1
guaranteed,28133582,10,8,2,3,gu ar anteed,0
turkey,28112986,6,6,0,2,tur key,1
libraries,28103816,9,7,2,1,libraries,0
proper,28099582,6,4,2,1,proper,0
distributed,28094905,11,8,3,1,distributed,0
degrees,28091266,7,5,2,1,degrees,0
singapore,28089227,9,9,0,2,sing apore,1
enterprises,28076874,11,7,4,2,enter prises,0
delta,28051872,5,5,0,1,delta,1
fear,28042145,4,4,0,2,f ear,1
seeking,28023068,7,6,1,2,seek ing,1
inches,28018680,6,6,0,2,in ches,0
phoenix,28018518,7,7,0,2,ph oenix,0
rs,28000422,2,2,0,1,rs,1
convention,27972282,10,7,3,2,con vention,0
shares,27971096,6,5,1,1,shares,1
principal,27964123,9,7,2,1,principal,0
daughter,27936967,8,8,0,1,daughter,1
standing,27936222,8,7,1,1,standing,1
voyeur,27928748,6,6,0,2,voy eur,1
comfort,27920566,7,6,1,1,comfort,0
colors,27911017,6,5,1,1,colors,0
wars,27898180,4,4,0,2,w ars,1
cisco,27894293,5,4,1,2,c isco,0
ordering,27856930,8,7,1,1,ordering,0
kept,27838368,4,4,0,1,kept,0
alpha,27832836,5,4,1,1,alpha,1
appeal,27829479,6,4,2,2,appe al,1
cruise,27827938,6,6,0,2,c ruise,1
bonus,27819488,5,5,0,1,bonus,1
certification,27708503,13,9,4,2,cert ification,0
previously,27698634,10,10,0,2,pre viously,1
hey,27665343,3,3,0,1,hey,1
bookmark,27665146,8,6,2,1,bookmark,0
buildings,27623076,9,8,1,2,build ings,0
specials,27620523,8,7,1,2,special s,1
beat,27616668,4,4,0,1,beat,1
disney,27557762,6,6,0,2,dis ney,1
household,27556777,9,7,2,2,house hold,0
batteries,27541890,9,7,2,3,b atter ies,0
adobe,27538755,5,5,0,2,ad obe,1
smoking,27526627,7,7,0,2,sm oking,1
bbc,27469485,3,2,1,1,bbc,1
becomes,27462477,7,6,1,2,bec omes,0
drives,27442926,6,6,0,2,dr ives,1
arms,27432921,4,4,0,1,arms,1
alabama,27418375,7,4,3,2,al abama,1
tea,27406794,3,3,0,1,tea,1
improved,27397478,8,8,0,2,im proved,0
trees,27378116,5,4,1,1,trees,0
avg,27370055,3,3,0,1,avg,1
achieve,27332769,7,6,1,2,ach ieve,1
positions,27322185,9,6,3,1,positions,0
dress,27318959,5,4,1,1,dress,1
subscription,27310399,12,10,2,1,subscription,0
dealer,27299846,6,5,1,1,dealer,1
contemporary,27284246,12,10,2,2,cont emporary,0
sky,27281333,3,3,0,1,sky,1
utah,27270743,4,4,0,2,ut ah,1
nearby,27263100,6,6,0,2,near by,1
rom,27234302,3,3,0,1,rom,1
carried,27222494,7,6,1,2,car ried,1
happen,27207887,6,5,1,2,h appen,1
exposure,27204624,8,7,1,2,ex posure,0
panasonic,27173123,9,7,2,2,pan asonic,1
hide,27157035,4,4,0,1,hide,1
permalink,27148418,9,9,0,1,permalink,1
signature,27140993,9,9,0,1,signature,1
gambling,27118635,8,7,1,2,gam bling,1
refer,27099706,5,3,2,1,refer,0
miller,27092856,6,5,1,2,m iller,1
provision,27091944,9,7,2,2,pro vision,0
outdoors,27060521,8,6,2,2,out doors,0
clothes,27037465,7,7,0,2,clo thes,1
caused,27036899,6,6,0,2,ca used,1
luxury,27020617,6,5,1,2,lux ury,0
babes,27016030,5,4,1,2,bab es,1
frames,27007332,6,6,0,1,frames,1
viagra,26999671,6,5,1,2,vi agra,1
certainly,26984060,9,9,0,3,c ertain ly,1
indeed,26943016,6,4,2,2,inde ed,0
newspaper,26933746,9,7,2,3,new sp aper,0
toy,26924831,3,3,0,1,toy,1
circuit,26917865,7,5,2,2,c ircuit,0
layer,26912270,5,5,0,1,layer,1
printed,26887551,7,7,0,1,printed,0
slow,26870240,4,4,0,1,slow,1
removal,26864040,7,7,0,2,rem oval,1
easier,26857423,6,5,1,2,e asier,0
src,26854451,3,3,0,1,src,1
liability,26837967,9,6,3,2,li ability,0
trademark,26835205,9,7,2,2,trad emark,0
hip,26826008,3,3,0,1,hip,1
printers,26821453,8,7,1,2,print ers,1
faqs,26812968,4,4,0,2,fa qs,1
nine,26807668,4,3,1,1,nine,1
adding,26797775,6,5,1,1,adding,0
kentucky,26783017,8,7,1,3,k ent ucky,1
mostly,26774406,6,6,0,1,mostly,1
eric,26767316,4,4,0,1,eric,1
spot,26750929,4,4,0,1,spot,1
taylor,26736684,6,6,0,2,t aylor,1
trackback,26734043,9,6,3,2,track back,0
prints,26721934,6,6,0,1,prints,1
spend,26713310,5,5,0,2,sp end,1
factory,26708317,7,7,0,1,factory,1
interior,26708143,8,6,2,2,inter ior,0
revised,26702355,7,6,1,2,re vised,0
grow,26701492,4,4,0,1,grow,1
americans,26666908,9,8,1,3,am eric ans,1
optical,26665491,7,7,0,2,opt ical,1
promotion,26651461,9,7,2,1,promotion,0
relative,26646324,8,7,1,1,relative,1
amazing,26630190,7,6,1,2,am azing,1
clock,26624872,5,4,1,1,clock,0
dot,26590624,3,3,0,1,dot,1
hiv,26575486,3,3,0,2,h iv,1
identity,26573512,8,6,2,1,identity,0
suites,26558524,6,5,1,2,suit es,0
conversion,26551803,10,8,2,1,conversion,0
feeling,26546473,7,6,1,2,fe eling,1
hidden,26526402,6,5,1,1,hidden,0
reasonable,26526175,10,8,2,1,reasonable,0
victoria,26515985,8,7,1,3,v ict oria,1
serial,26488381,6,6,0,1,serial,0
relief,26483302,6,5,1,2,rel ief,1
revision,26482328,8,7,1,1,revision,0
broadband,26476075,9,6,3,3,b road band,0
influence,26460675,9,7,2,2,in fluence,0
ratio,26457942,5,5,0,1,ratio,1
pda,26454587,3,3,0,2,p da,1
importance,26451992,10,10,0,2,import ance,0
rain,26419979,4,4,0,1,rain,1
onto,26411439,4,3,1,1,onto,1
dsl,26407952,3,3,0,1,dsl,1
planet,26405032,6,6,0,1,planet,0
webmaster,26382498,9,8,1,2,web master,0
copies,26369992,6,6,0,1,copies,1
recipe,26355769,6,5,1,1,recipe,0
zum,26349274,3,3,0,2,z um,1
permit,26339544,6,6,0,1,permit,1
seeing,26322092,6,5,1,1,seeing,1
proof,26305059,5,4,1,1,proof,0
dna,26290902,3,3,0,1,dna,1
diff,26283641,4,3,1,1,diff,0
tennis,26272328,6,5,1,2,ten nis,0
bass,26249677,4,3,1,2,b ass,1
prescription,26233858,12,9,3,2,pres cription,0
bedroom,26229848,7,6,1,2,bed room,0
empty,26206017,5,5,0,1,empty,1
instance,26204516,8,7,1,1,instance,1
hole,26199070,4,4,0,1,hole,1
pets,26153751,4,4,0,1,pets,1
ride,26153004,4,4,0,1,ride,1
licensed,26151610,8,7,1,1,licensed,0
orlando,26117729,7,6,1,2,or lando,1
specifically,26114063,12,9,3,2,specific ally,0
tim,26111466,3,3,0,1,tim,1
bureau,26110155,6,5,1,2,b ureau,1
maine,26049821,5,5,0,2,main e,1
sql,26047194,3,3,0,1,sql,1
represent,26038983,9,6,3,1,represent,0
