Word,Frequency,Letters_Number,Unique_Letters_number,Difference,GPT4o-mini_IFCorrect,Tokens_Number,Tokens
hallamshire,30661,11,8,3,0,3,hall am shire
easington,98366,9,8,1,1,3,e asing ton
witting,33746,7,5,2,1,2,w itting
vincere,30064,7,6,1,1,3,v inc ere
gripped,471868,7,6,1,0,2,gr ipped
tfrs,16018,4,4,0,0,3,t fr s
jwhois,35484,6,6,0,1,3,j who is
bayho,16071,5,5,0,1,2,bay ho
kldpwiki,12897,8,6,2,0,4,k ld p wiki
runabouts,34616,9,8,1,0,2,run abouts
apothecary,375839,10,9,1,1,4,ap othe c ary
commentscomments,24341,16,7,9,0,2,comments comments
csci,312480,4,3,1,0,2,cs ci
rhannu,19919,6,5,1,1,2,rh annu
iomega,1974846,6,6,0,1,2,i omega
zedillo,57029,7,6,1,1,2,zed illo
diogelwch,69627,9,9,0,1,3,di ogel wch
lethe,52069,5,4,1,1,2,let he
egories,39525,7,6,1,0,2,eg ories
maddened,42985,8,5,3,0,3,m add ened
savitsky,20078,8,7,1,0,3,sav its ky
forza,444920,5,5,0,1,2,for za
aitutaki,63346,8,5,3,0,3,ait ut aki
jaguars,1285032,7,6,1,1,3,j agu ars
stiffeners,61548,10,7,3,0,3,st iff eners
slutrussian,21539,11,8,3,0,3,sl utr ussian
cochecton,32686,9,6,3,0,4,c oche ct on
gnarabup,13378,8,7,1,1,3,gn arab up
pga,4028508,3,3,0,1,2,p ga
piazza,1694892,6,4,2,1,2,pia zza
nachos,276379,6,6,0,1,2,nach os
schoff,13519,6,5,1,1,3,s cho ff
refracted,88361,9,7,2,0,3,re fr acted
seabright,34996,9,9,0,1,3,se ab right
ektopia,16348,7,7,0,1,2,ekt opia
reassuring,697307,10,8,2,0,3,re ass uring
nikkor,780737,6,5,1,1,3,n ikk or
soggiorno,91689,9,6,3,0,4,s ogg ior no
immunother,13195,10,9,1,1,3,im mun other
occ,1603222,3,2,1,1,1,occ
lepidoptera,364245,11,9,2,0,4,le pid op tera
planes,6446290,6,6,0,1,1,planes
ebnf,52531,4,4,0,1,2,eb nf
oyoge,12747,5,4,1,0,2,oy oge
rezulin,81704,7,7,0,1,2,rez ulin
glottis,42474,7,6,1,0,3,gl ott is
periodicos,13418,10,8,2,0,2,period icos
mandibles,49562,9,9,0,1,2,mand ibles
supermajority,51931,13,12,1,0,3,super major ity
fertilization,1082078,13,10,3,0,3,fert il ization
muskellunge,37222,11,8,3,0,4,m usk ell unge
arrgo,25557,5,4,1,1,2,arr go
forewarning,34731,11,9,2,0,2,fore warning
yasser,593946,6,5,1,1,2,y asser
suco,19951,4,4,0,1,2,su co
manrelaxn,37950,9,7,2,1,4,man rel ax n
beograd,196756,7,7,0,1,2,be ograd
filiberto,29181,9,8,1,0,3,fil ib erto
hellacopters,124855,12,10,2,0,3,hell ac opters
wwwgamesvillecom,30989,16,11,5,0,4,www games ville com
vsindbox,12821,8,8,0,1,3,vs ind box
maurepas,31709,8,7,1,1,3,ma ure pas
shiao,13080,5,5,0,1,2,sh iao
tigres,70169,6,6,0,1,2,tig res
cymbidium,74288,9,7,2,0,4,c ym bid ium
souldrive,21493,9,9,0,1,3,s ould rive
gradesaver,41310,10,7,3,0,2,grades aver
louvain,319997,7,7,0,1,3,l ouv ain
cetus,72046,5,5,0,1,2,c etus
wwwfunbraincom,30995,14,11,3,0,4,www fun brain com
printmaster,56728,11,9,2,0,2,print master
hedgies,19341,7,6,1,0,2,hed gies
akt,343315,3,3,0,1,1,akt
ebizq,93159,5,5,0,1,3,eb iz q
nrtc,34841,4,4,0,1,2,n rtc
olympian,661158,8,8,0,1,4,ol ym p ian
ieder,17633,5,4,1,0,1,ieder
monacogold,16804,10,8,2,0,4,mon ac og old
catchwords,30635,10,9,1,0,2,catch words
becareful,24340,9,8,1,1,3,bec are ful
losos,13014,5,3,2,1,2,los os
oygle,12753,5,5,0,1,2,oy gle
wintergarten,13017,12,8,4,0,2,winter garten
borgeson,20151,8,7,1,1,2,borg eson
anzlic,52242,6,6,0,1,2,anz lic
moonlit,207004,7,6,1,1,2,moon lit
adulation,176700,9,8,1,1,2,ad ulation
zabawy,14809,6,5,1,1,3,z ab awy
willeford,33278,9,8,1,1,3,w ille ford
actinomycetes,44205,13,10,3,0,4,act inom yc etes
stilbaai,55141,8,6,2,0,3,stil ba ai
dy,2746984,2,2,0,1,1,dy
sme,2142571,3,3,0,1,2,s me
uglyness,27026,8,7,1,0,3,ug ly ness
pcln,21326,4,4,0,1,3,p cl n
girdle,596431,6,6,0,1,3,g ird le
defendent,14299,9,5,4,0,2,def endent
yayoi,79818,5,4,1,1,2,yay oi
dfcs,35224,4,4,0,1,2,df cs
pedofilia,28306,9,8,1,1,3,ped of ilia
wwwbondage,38146,10,8,2,1,3,www bond age
gokusen,26152,7,7,0,1,3,g okus en
nucleating,21706,10,9,1,1,3,n ucle ating
vhap,13243,4,4,0,1,2,vh ap
fasc,57739,4,4,0,1,2,f asc
keo,167778,3,3,0,1,2,ke o
millionaire,3029469,11,8,3,0,2,million aire
stormi,79864,6,6,0,1,2,storm i
vuuren,32137,6,5,1,1,2,vu uren
poweredby,41466,9,8,1,0,2,powered by
oxenberg,15157,8,7,1,0,2,ox enberg
storer,177096,6,5,1,1,2,st orer
dbs,1132943,3,3,0,1,2,db s
grupper,39713,7,5,2,0,2,gr upper
scientifically,1496742,14,10,4,0,2,scient ifically
organizati,16931,10,8,2,0,2,organiz ati
condence,14740,8,5,3,0,2,cond ence
ohlsen,15780,6,6,0,1,2,oh lsen
yara,77810,4,3,1,1,2,y ara
embar,23437,5,5,0,1,1,embar
kezman,15393,6,6,0,1,2,kez man
wivesspandex,21536,12,10,2,0,5,w iv ess p andex
unprincipled,81714,12,9,3,0,3,un princip led
duesenberg,56947,10,8,2,0,3,du esen berg
forelegs,36815,8,7,1,0,2,fore legs
hallways,497169,8,6,2,0,2,hall ways
endcap,93905,6,6,0,1,2,end cap
xiliades,17758,8,7,1,1,3,x ili ades
alno,24846,4,4,0,1,2,al no
permesso,15202,8,6,2,0,2,perm esso
ifelse,226905,6,5,1,1,2,if else
aetius,13188,6,6,0,1,3,a eti us
wangari,46949,7,6,1,1,2,wang ari
logo,69529976,4,3,1,1,1,logo
ecstermkeyword,21740,14,11,3,0,4,ec st erm keyword
unbox,36026,5,5,0,1,2,un box
camara,454396,6,4,2,1,2,cam ara
lucchino,70312,8,7,1,1,3,luc ch ino
drei,275735,4,4,0,1,2,d rei
spitter,32969,7,6,1,1,2,sp itter
xlj,27631,3,3,0,1,2,x lj
tarpaulins,108909,10,9,1,0,4,tar pa ul ins
toke,358951,4,4,0,1,2,t oke
unno,27089,4,3,1,1,2,un no
unwrapped,398638,9,8,1,0,2,un wrapped
detonator,269120,9,7,2,0,3,det on ator
ornithology,314684,11,9,2,0,3,orn ith ology
televisions,5763445,11,8,3,0,2,tele visions
redacted,440584,8,6,2,0,2,red acted
panepinto,21678,9,7,2,1,3,pan ep into
phosphopeptides,21641,15,8,7,0,4,ph osph ope ptides
rlin,56539,4,4,0,1,2,rl in
audioholics,152489,11,9,2,0,3,audio hol ics
malkmus,111365,7,6,1,1,3,m alk mus
transatlanticism,31524,16,9,7,0,4,trans atl antic ism
reiver,26147,6,4,2,1,2,re iver
icdcs,28091,5,4,1,1,3,ic d cs
sdif,22058,4,4,0,1,2,sd if
pakete,27452,6,5,1,1,2,pak ete
casamentos,19626,10,8,2,0,2,cas amentos
wwwvisabr,23237,9,7,2,1,3,www vis abr
taisen,71343,6,6,0,1,2,ta isen
bradfordsville,15965,14,11,3,0,4,br ad ford sville
pinecreek,13740,9,7,2,0,3,pine cre ek
ehistory,21428,8,8,0,1,2,eh istory
disposi,15494,7,5,2,0,3,dis pos i
tti,316180,3,2,1,1,1,tti
zzzz,362520,4,1,3,1,2,zz zz
nistschema,24267,10,9,1,0,3,n ists chema
organisa,50932,8,7,1,0,2,organ isa
peasantry,182294,9,8,1,0,3,pe asan try
roadtrek,23011,8,7,1,1,3,road tre k
drink,29254937,5,5,0,1,1,drink
rcs,3524522,3,3,0,1,2,rc s
ferreiro,20663,8,5,3,0,2,fer reiro
oryzeae,15616,7,6,1,1,3,ory ze ae
trnny,12839,5,4,1,1,3,tr n ny
contenttutorialse,40642,17,11,6,0,3,content tutorial se
pqrs,38843,4,4,0,1,2,pq rs
librarybug,21970,10,8,2,0,2,library bug
programmatically,338651,16,11,5,0,2,program matically
dunnes,33651,6,5,1,1,3,d un nes
prelates,73953,8,7,1,0,2,pre lates
mellott,46485,7,5,2,1,3,m ell ott
hydroxybenzoate,29112,15,12,3,0,6,hyd ro xy ben zo ate
talislanta,19943,10,6,4,0,4,t alis l anta
asturian,103968,8,7,1,1,3,ast ur ian
pleasent,77634,8,7,1,0,3,ple as ent
leic,20499,4,4,0,1,2,le ic
marvins,19992,7,7,0,1,3,mar v ins
admiring,534106,8,7,1,1,2,adm iring
runaked,16361,7,7,0,1,2,run aked
salesman,1537227,8,6,2,0,2,sales man
nurnberg,119855,8,6,2,0,3,n urn berg
pimlicodatebk,21284,13,12,1,0,6,p im lic od ate bk
kilojoules,53532,10,8,2,0,4,kil oj ou les
gbytes,123155,6,6,0,1,2,g bytes
nidia,27054,5,4,1,1,2,n idia
cieh,46395,4,4,0,1,2,cie h
karash,31123,6,5,1,1,2,kar ash
specialization,2367296,14,11,3,0,2,special ization
haarlemmermeer,19005,14,6,8,0,3,haar lemmer meer
msnmessenger,60912,12,6,6,0,3,ms nm essenger
diebolt,12727,7,7,0,1,2,die bolt
nelligan,58235,8,6,2,0,3,n ellig an
broadcast,18743293,9,8,1,0,1,broadcast
dossy,15736,5,4,1,1,3,d oss y
subverting,130466,10,10,0,1,2,sub verting
nitrification,110742,13,8,5,0,3,n itr ification
hides,1700672,5,5,0,1,2,h ides
hitters,645933,7,6,1,1,2,hit ters
warrigal,32745,8,6,2,1,3,w arr igal
aalas,18391,5,3,2,0,2,aal as
fedexcom,31012,8,7,1,0,3,fed ex com
weigth,50373,6,6,0,1,2,weig th
mila,470227,4,4,0,1,2,m ila
relicense,22637,9,7,2,0,2,re license
hwm,72484,3,3,0,1,2,h wm
cfun,20639,4,4,0,1,2,cf un
russians,1985132,8,6,2,0,3,r ussi ans
gavins,21973,6,6,0,1,2,gav ins
pliku,18825,5,5,0,1,2,pl iku
pigstyle,202425,8,8,0,1,2,pig style
newpki,17859,6,6,0,1,3,new p ki
clits,1037485,5,5,0,1,2,cl its
bli,294461,3,3,0,1,1,bli
stocksfield,15928,11,10,1,1,2,stocks field
fugs,21450,4,4,0,1,2,f ugs
chinaski,16800,8,7,1,0,2,chin aski
bestellung,74620,10,8,2,0,2,best ellung
telechargements,20658,15,11,4,0,3,tele charg ements
tnb,173068,3,3,0,1,2,tn b
holiray,13658,7,7,0,1,2,hol iray
laietana,13068,8,6,2,1,3,lai et ana
oln,162780,3,3,0,1,2,ol n
dtss,13228,4,3,1,0,2,dt ss
rapidement,45343,10,9,1,0,2,rapid ement
morag,108302,5,5,0,1,2,mor ag
proselytizing,109991,13,12,1,0,4,pros ely t izing
captures,3642295,8,8,0,1,1,captures
ddefnyddiol,14323,11,8,3,0,4,d def nydd iol
upclose,66235,7,7,0,1,2,up close
athame,51637,6,5,1,1,2,ath ame
wargaming,174200,9,7,2,0,3,w arg aming
transglycosylase,18146,16,11,5,0,5,trans gly cos yl ase
xander,661207,6,6,0,1,2,x ander
farad,96545,5,4,1,1,2,far ad
waynesboro,448691,10,9,1,0,3,way nes boro
positionform,18861,12,9,3,0,2,position form
bnr,101688,3,3,0,1,2,bn r
ribosyl,24476,7,7,0,0,3,rib os yl
gibco,90108,5,5,0,1,3,g ib co
pietism,26982,7,6,1,0,3,p iet ism
serverlist,37701,10,7,3,1,2,server list
conformations,220554,13,10,3,0,2,con formations
persis,69405,6,5,1,1,2,pers is
overrun,765007,7,6,1,0,2,over run
pears,1105539,5,5,0,1,2,pe ars
cung,303323,4,4,0,1,2,c ung
pegi,90234,4,4,0,1,2,pe gi
duveen,12977,6,5,1,1,2,du veen
ebatts,51050,6,5,1,0,2,eb atts
agsync,37522,6,6,0,1,2,ags ync
shockers,198267,8,7,1,1,2,shock ers
nfsu,50597,4,4,0,1,3,n fs u
interessen,14492,10,6,4,0,2,inter essen
gabo,50241,4,4,0,1,2,g abo
lobi,17764,4,4,0,1,2,l obi
profilers,90104,9,8,1,1,2,profil ers
demos,4984806,5,5,0,1,2,d emos
autowired,34952,9,9,0,1,2,aut owired
ewf,48016,3,3,0,1,2,ew f
platinums,13191,9,9,0,0,3,pl atin ums
retu,14232,4,4,0,1,2,ret u
goons,258119,5,4,1,1,2,go ons
obsc,14372,4,4,0,1,2,ob sc
doogue,61673,6,5,1,0,2,do ogue
aaronswatches,36958,13,10,3,0,4,aar ons w atches
yellin,92827,6,5,1,0,3,y ell in
vermonters,94913,10,8,2,0,3,ver mon ters
critics,10114264,7,5,2,0,2,crit ics
recalibrating,13942,13,10,3,0,4,re cal ibr ating
kidou,13716,5,5,0,1,2,kid ou
luty,17804,4,4,0,1,2,l uty
ortega,664126,6,6,0,1,2,ort ega
spartansburg,19796,12,9,3,0,3,spart ans burg
producibility,13460,13,11,2,0,3,pro duc ibility
basinski,18696,8,6,2,0,2,bas inski
asmal,19986,5,4,1,0,2,as mal
songtexten,30160,10,7,3,0,3,song text en
metaphorically,215453,14,12,2,0,4,met aph or ically
richd,36830,5,5,0,1,2,rich d
maquon,14688,6,6,0,1,3,ma qu on
spry,217147,4,4,0,1,2,spr y
journeying,154129,10,9,1,1,3,jour ney ing
mycelex,21065,7,6,1,0,3,my ce lex
hutt,663177,4,3,1,0,2,h utt
aliases,2270764,7,5,2,0,1,aliases
tamir,67938,5,5,0,1,2,tam ir
temiskaming,27903,11,9,2,0,3,tem isk aming
frr,167203,3,2,1,1,2,f rr
lyndon,1021797,6,5,1,1,3,ly nd on
treach,21308,6,6,0,1,2,tre ach
merom,37284,5,4,1,1,2,mer om
tagen,123954,5,5,0,1,2,t agen
stripers,161171,8,6,2,0,2,strip ers
publicize,617593,9,8,1,0,2,public ize
patpong,29089,7,6,1,1,2,pat pong
sophomoric,55682,10,8,2,0,4,s oph om oric
loughney,21194,8,8,0,1,3,l ough ney
istituti,25071,8,4,4,0,2,istit uti
spectroscope,33920,12,7,5,0,2,spect roscope
relena,25401,6,5,1,1,2,rel ena
crocheted,559219,9,7,2,0,3,cro che ted
chowders,105934,8,8,0,1,3,ch ow ders
fritts,64490,6,5,1,0,3,f rit ts
redwalls,15297,8,7,1,0,2,red walls
corrina,72100,7,6,1,0,2,corr ina
onge,77139,4,4,0,1,1,onge
powdering,17798,9,9,0,1,3,pow der ing
caymans,33244,7,6,1,0,3,c ay mans
auros,12819,5,5,0,1,2,au ros
undesireable,18892,12,10,2,0,3,undes ire able
rodby,12911,5,5,0,1,2,rod by
surrogates,231313,10,8,2,1,3,sur rog ates
calry,13075,5,5,0,1,2,cal ry
eigenfunction,61782,13,9,4,0,3,e igen function
joise,35089,5,5,0,1,2,jo ise
committments,33871,12,8,4,0,3,comm itt ments
revels,247758,6,5,1,0,3,re vel s
wmm,70615,3,2,1,1,2,w mm
impinj,22030,6,5,1,0,2,imp inj
usev,27866,4,4,0,1,2,use v
dmitry,773072,6,6,0,1,3,d mit ry
mbq,77087,3,3,0,1,2,mb q
simonne,15004,7,6,1,1,3,s imon ne
vdw,72275,3,3,0,1,2,vd w
mucci,38213,5,4,1,0,2,mu cci
lansdale,268292,8,6,2,0,3,l ans dale
pattani,47628,7,5,2,1,3,p att ani
nodding,498441,7,5,2,1,3,n odd ing
resiliency,328858,10,8,2,0,3,res il iency
ccpd,71876,4,3,1,1,2,cc pd
rotifera,14021,8,7,1,1,3,rot if era
tabernash,24866,9,8,1,1,3,tab ern ash
duckett,140731,7,6,1,1,2,duck ett
unhrc,15671,5,5,0,1,3,un hr c
brs,439969,3,3,0,1,2,br s
okey,140583,4,4,0,0,2,ok ey
performed,29714621,9,7,2,0,1,performed
scriptbuilders,24994,14,11,3,0,2,script builders
frother,49749,7,6,1,1,2,fro ther
incisor,89740,7,6,1,1,2,inc isor
dpdt,82749,4,3,1,0,2,dp dt
urugay,23984,6,5,1,0,3,ur ug ay
moroscopes,27266,10,7,3,0,3,mor osc opes
wynnstay,15260,8,6,2,0,3,w ynn stay
ludology,17846,8,6,2,0,3,l ud ology
cyclades,342999,8,7,1,0,2,cycl ades
pijp,63978,4,3,1,1,2,p ijp
standmount,13503,10,8,2,0,2,stand mount
tea,27406794,3,3,0,1,1,tea
goms,56857,4,4,0,1,2,g oms
consumables,3364039,11,10,1,1,3,cons um ables
ness,3430085,4,3,1,1,1,ness
batesias,43269,8,6,2,1,3,b ates ias
syndicat,90451,8,8,0,1,3,sy nd icat
ciencias,424413,8,6,2,0,2,c iencias
entsteht,14441,8,5,3,0,2,ent steht
atbs,20962,4,4,0,1,2,at bs
pawtucket,431734,9,8,1,1,3,paw t ucket
aerobraking,13190,11,9,2,1,4,a er obr aking
misterzero,60938,10,8,2,0,3,m ister zero
azides,30222,6,6,0,1,2,az ides
gioie,47779,5,4,1,0,2,gio ie
sammy,2447628,5,4,1,1,2,sam my
greenriver,13700,10,6,4,0,2,green river
entacapone,25925,10,7,3,0,4,ent ac ap one
insanocombr,30994,11,9,2,0,4,ins an ocom br
openaccess,34300,10,7,3,0,2,open access
dudleya,14851,7,6,1,1,4,d ud le ya
bfpo,94118,4,4,0,1,2,bf po
hyang,38108,5,5,0,1,2,hy ang
kinesthetic,134056,11,8,3,0,2,kin esthetic
sheepdog,531037,8,7,1,1,3,she ep dog
fareham,451142,7,6,1,1,2,fare ham
algonac,54488,7,6,1,1,3,alg on ac
rivercenter,49209,11,7,4,0,2,river center
pcsos,23881,5,4,1,1,2,pcs os
executesyncimpl,34804,15,12,3,0,4,exec utes ync impl
siggies,25398,7,4,3,0,2,sig gies
sisterly,58104,8,7,1,1,3,s ister ly
noroxin,19816,7,5,2,0,2,nor oxin
martins,1296812,7,7,0,1,2,mart ins
ganas,57826,5,4,1,1,2,gan as
pouvoirs,52557,8,7,1,1,3,p ouvoir s
conserve,1606807,8,7,1,1,2,con serve
torisoft,17161,8,6,2,0,2,tor isoft
nabarro,36855,7,5,2,0,3,n abar ro
sanlitun,18386,8,7,1,1,3,san lit un
dtdp,25488,4,3,1,1,3,d td p
hlx,33143,3,3,0,1,2,hl x
belize,7170798,6,5,1,1,2,bel ize
diamantina,30369,10,6,4,0,3,diam ant ina
cxt,53559,3,3,0,1,2,c xt
chintzy,32066,7,7,0,1,3,ch int zy
mixers,2528887,6,6,0,1,2,mix ers
aarts,38034,5,4,1,1,2,a arts
yd,2408813,2,2,0,1,1,yd
iambic,110064,6,5,1,0,3,i amb ic
nwrite,12814,6,6,0,1,2,n write
itchiness,35187,9,7,2,0,2,itch iness
mraz,266952,4,4,0,1,2,m raz
foust,115654,5,5,0,1,2,f oust
lawlessness,268026,11,6,5,0,2,law lessness
yaoi,679686,4,4,0,0,2,ya oi
ventria,15040,7,7,0,1,2,vent ria
mitad,33130,5,5,0,1,2,mit ad
superviagra,15904,11,9,2,0,3,super vi agra
staunching,31852,10,9,1,0,3,sta unch ing
constructionskills,21352,18,10,8,0,3,con structions kills
healthhub,18506,9,7,2,0,2,health hub
greencastle,200565,11,9,2,0,4,gre enc ast le
brutes,132985,6,6,0,1,2,br utes
nealian,12988,7,5,2,1,2,ne alian
beza,22827,4,4,0,1,2,be za
icab,59649,4,4,0,1,2,ic ab
niblack,15515,7,7,0,1,3,n ibl ack
madjo,13186,5,5,0,1,2,mad jo
micrornas,43565,9,8,1,1,4,mic r orn as
intensions,25743,10,6,4,0,2,int ensions
probally,72820,8,7,1,1,2,prob ally
leprae,82293,6,5,1,1,2,lep rae
rping,26345,5,5,0,1,2,r ping
tonna,23866,5,4,1,1,2,ton na
augury,35584,6,5,1,0,2,aug ury
digiguide,74910,9,5,4,0,3,dig igu ide
confessors,40997,10,7,3,0,3,conf ess ors
rrule,22457,5,4,1,1,2,rr ule
bicu,15354,4,4,0,1,2,b icu
cotangent,39165,9,7,2,0,2,cot angent
sysname,46762,7,6,1,1,2,sys name
surrendered,1037373,11,6,5,0,3,s urrender ed
interpretations,3134178,15,9,6,0,2,interpret ations
potyvirus,26855,9,9,0,1,3,pot y virus
otisco,31548,6,5,1,1,2,ot isco
ccedilla,31013,8,6,2,0,3,cc ed illa
swiped,146228,6,6,0,1,2,sw iped
africana,273948,8,6,2,1,3,af ric ana
grabill,36605,7,6,1,1,2,grab ill
positio,12713,7,5,2,0,2,posit io
epsps,49061,5,3,2,0,2,eps ps
imitations,402031,10,7,3,0,2,imit ations
chemotherapeutic,167271,16,11,5,0,3,chem otherapeut ic
tracers,284446,7,6,1,1,3,tr ac ers
adornments,141881,10,9,1,1,3,ad orn ments
ecsc,119586,4,3,1,1,2,ec sc
vonda,123048,5,5,0,1,2,v onda
apidex,14525,6,6,0,1,2,apid ex
phis,23645,4,4,0,1,1,phis
crafte,33710,6,6,0,1,3,c raf te
finbarr,31443,7,6,1,1,3,fin b arr
soundblaster,322736,12,11,1,0,3,sound bl aster
swadesh,14017,7,6,1,0,2,sw adesh
rmx,562616,3,3,0,1,2,rm x
tirk,17896,4,4,0,1,2,t irk
mayac,17807,5,4,1,1,2,may ac
cedc,33514,4,3,1,1,2,ced c
rogaining,17658,9,6,3,0,2,rog aining
hulot,32031,5,5,0,1,2,hul ot
cartwright,815878,10,8,2,0,2,cart wright
petaholmes,13517,10,9,1,0,4,pet ah ol mes
lagon,16943,5,5,0,1,2,lag on
grayhawk,23381,8,7,1,0,2,gray hawk
sanatoria,13564,9,7,2,1,2,san atoria
virtek,51392,6,6,0,1,2,vir tek
iodine,1351488,6,5,1,0,2,iod ine
patea,18930,5,4,1,1,2,p atea
hiemstra,32308,8,8,0,1,3,hi em stra
avy,201079,3,3,0,1,1,avy
rearview,275883,8,6,2,0,2,rear view
nonrandomized,23475,13,9,4,0,3,non random ized
scenaid,15855,7,7,0,1,3,sc ena id
skywriter,18038,9,8,1,0,2,sky writer
tongs,531760,5,5,0,1,2,t ongs
hatom,21042,5,5,0,1,2,hat om
fishbaseback,23561,12,9,3,0,3,fish base back
foresee,615358,7,5,2,1,2,fore see
kufuor,30952,6,5,1,1,3,k ufu or
lochaber,142179,8,8,0,1,2,loch aber
smiling,3931929,7,6,1,0,2,sm iling
finescale,21594,9,8,1,0,3,f ines cale
efp,136714,3,3,0,1,2,ef p
corabar,14887,7,5,2,1,2,cor abar
zcta,16869,4,4,0,1,2,z cta
advancements,675545,12,9,3,0,2,adv ancements
philanderer,18635,11,9,2,1,3,phil ander er
recovering,2767124,10,8,2,0,2,recover ing
rappelling,102849,10,8,2,0,3,r app elling
soprano,1788265,7,6,1,1,3,s opr ano
precluding,151237,10,10,0,1,2,pre cluding
diabolik,32698,8,7,1,1,3,di abol ik
mailsend,20059,8,8,0,1,3,m ails end
threadcount,12816,11,10,1,1,2,thread count
gkn,102223,3,3,0,1,2,g kn
argentum,65505,8,8,0,1,2,argent um
recycled,4400717,8,6,2,0,2,re cycled
ptwsh,18021,5,5,0,1,3,pt w sh
moze,39498,4,4,0,1,2,mo ze
docupen,51812,7,7,0,1,3,doc up en
linkit,78922,6,5,1,0,2,link it
gogoo,12819,5,2,3,1,3,g og oo
rnas,438409,4,4,0,1,2,r nas
poppycock,75424,9,5,4,0,4,p opp yc ock
lxk,17322,3,3,0,1,2,lx k
askew,473664,5,5,0,1,2,ask ew
curd,285491,4,4,0,1,2,cur d
wednes,29311,6,5,1,0,2,w ednes
stopera,14744,7,7,0,1,2,stop era
sulekha,84076,7,7,0,1,3,s ulek ha
ilmenite,60680,8,6,2,0,3,il men ite
vindicate,146028,9,8,1,1,2,vind icate
cabig,61538,5,5,0,1,2,cab ig
sviatoslav,31742,10,7,3,0,4,s vi atos lav
gizzi,23675,5,3,2,0,2,g izzi
estrie,25895,6,5,1,0,2,estr ie
olnline,23504,7,5,2,0,3,ol n line
tenorio,51003,7,6,1,1,2,ten orio
emis,245383,4,4,0,1,1,emis
powerhead,64694,9,8,1,0,2,power head
sotalol,75653,7,5,2,1,3,s otal ol
libnasl,22980,7,6,1,1,3,lib nas l
leisel,14011,6,4,2,0,2,le isel
afrikaner,70817,9,7,2,1,3,afr ikan er
wino,101922,4,4,0,1,1,wino
v,204486977,1,1,0,1,1,v
accupressure,25702,12,7,5,0,4,acc up ress ure
lignum,55131,6,6,0,0,3,l ign um
bizjournals,3307471,11,11,0,1,3,biz journ als
permettra,22878,9,6,3,0,3,per met tra
transpires,94356,10,8,2,0,2,trans pires
ringed,339148,6,6,0,1,2,ring ed
moderate,11975598,8,7,1,0,2,moder ate
tournay,14364,7,7,0,1,3,t ourn ay
qsop,31951,4,4,0,1,2,qs op
palmitoylation,14748,14,9,5,0,4,pal mit oy lation
graders,1703102,7,6,1,1,2,grad ers
airwise,104410,7,6,1,0,2,air wise
encontrado,61006,10,8,2,0,3,en contr ado
apparatchiks,19645,12,9,3,0,3,appar atch iks
kevincmurphy,13645,12,12,0,1,4,kev inc mur phy
woodfloor,45757,9,6,3,0,2,wood floor
bbsc,13390,4,3,1,1,2,bb sc
iwar,39794,4,4,0,1,2,i war
palletizing,44607,11,9,2,0,3,p allet izing
dunster,98150,7,7,0,1,3,d un ster
slinger,243461,7,7,0,1,2,s linger
remailers,32612,9,7,2,1,3,rem ail ers
serious,38316678,7,6,1,1,2,ser ious
fushia,39444,6,6,0,1,3,f ush ia
linderoth,16042,9,9,0,1,3,l inder oth
mata,784322,4,3,1,1,1,mata
kilts,380643,5,5,0,1,2,kil ts
hollie,179224,6,5,1,1,3,h oll ie
tapicerki,16338,9,8,1,0,3,tap icer ki
wwwssagov,43707,9,6,3,1,4,www ss ag ov
flashcard,229938,9,8,1,0,2,flash card
metasearch,2426329,10,8,2,0,3,met ase arch
snazzi,13037,6,5,1,0,2,sn azzi
livecamsex,59230,10,9,1,0,3,live cam sex
pgolle,12789,6,5,1,1,2,pg olle
bakhtiari,34580,9,7,2,0,3,bak hti ari
siebert,206220,7,6,1,0,2,sie bert
pervaiz,25694,7,7,0,1,3,per va iz
deptcomp,17970,8,7,1,0,2,dept comp
torment,835075,7,6,1,1,2,tor ment
rfg,191929,3,3,0,1,2,r fg
hansz,13606,5,5,0,1,3,h ans z
inmath,20230,6,6,0,1,2,in math
pontine,53192,7,6,1,1,2,pont ine
bic,1139498,3,3,0,1,1,bic
sealskinz,62226,9,8,1,1,4,se als kin z
tuthill,95621,7,5,2,1,3,t uth ill
pcanywhere,271460,10,9,1,1,3,pc any where
footaction,21222,10,7,3,0,2,foot action
magikloly,18950,9,8,1,1,3,mag ikl oly
gos,361251,3,3,0,1,1,gos
ponsonby,128925,8,6,2,1,3,pon son by
pao,584554,3,3,0,1,2,p ao
residenz,72262,8,7,1,0,3,res iden z
mstislav,36728,8,7,1,0,2,mst islav
immeuble,31541,8,6,2,1,2,imme uble
playmates,711966,9,8,1,0,2,play mates
spaeth,73379,6,6,0,1,2,spa eth
digitalinnovatio,16865,16,9,7,0,3,digital innov atio
reisenden,130735,9,6,3,0,2,reis enden
mccotter,34706,8,6,2,0,4,m cc ot ter
manual,49698346,6,5,1,0,1,manual
meditations,1040007,11,9,2,0,2,med itations
aminta,25633,6,5,1,1,2,am inta
captcha,248625,7,5,2,0,1,captcha
shrift,102762,6,6,0,1,2,sh rift
obsah,53779,5,5,0,0,2,obs ah
cuttack,323332,7,5,2,1,3,c utt ack
reloj,101660,5,5,0,1,2,re loj
gamecom,67339,7,6,1,0,2,game com
jul,90810423,3,3,0,1,1,jul
spectacularly,304294,13,10,3,0,3,spect acular ly
