Word,Frequency,Letters_Number,Unique_Letters_number,Difference,Tokens_Number,Tokens_gpt4o-mini,GPT4o-mini_IFCorrect,GPT4o_IFCorrect,LlaMa3.1-8B_IFCorrect,Gemma2-9B_IFCorrect,Mixtral-7B_IFCorrect
aminta,25633,6,5,1,2,am inta,1,1,0,1,1
captcha,248625,7,5,2,1,captcha,0,0,0,0,0
shrift,102762,6,6,0,2,sh rift,1,1,1,1,1
obsah,53779,5,5,0,2,obs ah,0,1,0,0,1
cuttack,323332,7,5,2,3,cut t ack,1,0,0,0,0
reloj,101660,5,5,0,3,re lo j,1,1,1,0,1
gamecom,67339,7,6,1,2,game com,0,1,0,0,0
jul,90810423,3,3,0,2,j ul,1,1,1,1,0
spectacularly,304294,13,10,3,3,spect acular ly,0,1,0,0,0
phillipine,50177,10,6,4,4,ph ill ip ine,0,0,0,0,0
synthesize,621698,10,8,2,1,synthesize,0,0,0,0,0
nastase,52174,7,5,2,3,n ast ase,0,1,0,1,0
dugard,21986,6,5,1,3,d ug ard,1,1,0,0,0
stentor,236032,7,6,1,3,st ent or,0,1,1,1,0
kofu,18848,4,4,0,3,k of u,1,1,1,1,1
linki,158715,5,4,1,2,link i,1,1,1,1,1
amnh,83779,4,4,0,2,am nh,1,1,0,1,0
gvanrossum,58785,10,9,1,4,g van ross um,0,0,0,0,0
ironing,2009586,7,5,2,2,iron ing,0,1,0,0,1
paraguayan,118479,10,7,3,3,par agu ayan,0,0,0,0,0
giornata,43877,8,7,1,3,gi orn ata,1,1,0,0,0
kuban,58069,5,5,0,3,k ub an,1,1,1,1,1
unpleasantness,102064,14,8,6,3,un pleasant ness,0,0,0,0,0
traxx,240936,5,4,1,3,tr ax x,1,1,1,0,0
apaches,105039,7,6,1,2,ap aches,1,1,0,0,1
puteri,28882,6,6,0,2,puter i,1,1,1,1,1
siders,82313,6,5,1,2,s iders,0,1,0,0,0
renderlistplugin,72995,16,11,5,3,render list plugin,0,0,0,0,0
edelbrock,218739,9,8,1,4,ed el bro ck,0,1,0,0,1
guimaraes,71956,9,8,1,4,gu im ara es,1,1,0,0,0
britcaster,15702,10,8,2,2,brit caster,0,0,0,0,0
abhandlungen,31672,12,9,3,4,ab hand l ungen,0,0,0,0,0
cresskill,52855,9,7,2,3,c ress kill,1,1,0,0,0
gorlin,19906,6,6,0,2,gor lin,1,1,1,1,1
cavr,16489,4,4,0,2,c avr,1,1,1,1,1
barbiecom,43850,9,8,1,3,bar bie com,1,0,0,0,0
ociexecute,16097,10,7,3,2,oci execute,0,0,0,0,0
bondies,50949,7,7,0,2,bond ies,1,1,1,0,0
acetabulum,46555,10,8,2,3,acet ab ulum,1,1,0,0,0
pacen,16773,5,5,0,2,pac en,1,1,1,1,0
fratricidal,18259,11,8,3,4,fr at ric idal,0,0,0,0,0
garaging,52994,8,5,3,2,gar aging,0,1,0,0,0
cowling,241047,7,7,0,2,cow ling,1,1,0,0,0
zclv,13714,4,4,0,3,z cl v,1,1,1,1,1
mimura,24281,6,5,1,3,m im ura,1,1,0,0,0
wwwvictoriassecretcom,23239,21,11,10,6,www v ict orias secret com,0,0,0,0,0
mifepristone,94589,12,10,2,5,m ife pr ist one,0,1,0,0,0
moonblue,13348,8,7,1,2,moon blue,1,1,0,1,1
vasarely,25647,8,7,1,3,vas are ly,0,1,1,1,0
nanking,283017,7,5,2,2,n anking,0,0,0,0,0
manhood,662829,7,6,1,2,man hood,0,1,0,0,0
voluntarily,2517597,11,10,1,3,vol unt arily,1,1,0,0,0
bangerter,21449,9,7,2,3,b anger ter,0,1,0,0,0
docdb,50029,5,4,1,2,doc db,1,0,0,0,0
fafsagov,31007,8,6,2,4,f afs ag ov,1,1,0,1,1
fgy,40642,3,3,0,2,f gy,1,1,1,1,0
advisor,25719984,7,7,0,1,advisor,1,1,0,1,0
xmlnode,80542,7,7,0,2,xml node,0,1,0,1,1
tupi,20777,4,4,0,3,t up i,1,1,1,1,1
vishing,28716,7,6,1,2,v ishing,0,1,0,0,0
dilg,13309,4,4,0,3,d il g,1,1,1,1,1
thibaudet,17804,9,8,1,4,th ib aud et,1,1,0,0,1
dicicco,28845,7,4,3,3,dic ic co,0,0,0,0,0
aikikai,43084,7,3,4,4,a ik ik ai,0,1,0,0,0
bethea,67111,6,5,1,3,b ethe a,0,1,0,1,1
tags,37732409,4,4,0,1,tags,1,1,1,1,1
lovett,564192,6,5,1,2,lov ett,1,1,0,0,0
ackman,21505,6,5,1,2,ack man,0,1,0,0,1
nicholsons,14865,10,7,3,4,n ich ol sons,0,0,0,0,0
ackermann,176628,9,7,2,2,ack ermann,0,0,0,0,0
bodyrockers,154682,11,9,2,3,body rock ers,0,0,0,1,0
lehi,258466,4,4,0,2,le hi,1,1,1,0,0
daming,18125,6,6,0,2,d aming,1,1,1,1,1
inexplicable,400673,12,9,3,3,in exp licable,0,1,0,0,0
trhe,43846,4,4,0,2,tr he,1,1,1,1,1
calculi,247902,7,5,2,2,calcul i,0,0,0,0,0
columella,30644,9,7,2,3,c olum ella,0,0,0,0,0
thmoas,13229,6,6,0,3,th mo as,1,1,1,0,1
astronomisches,16527,14,11,3,3,astr onom isches,0,1,0,0,0
spectaculars,111092,12,9,3,3,spect acular s,0,1,0,0,0
emmaus,279591,6,5,1,2,emma us,1,1,0,0,0
rathje,34156,6,6,0,3,r ath je,1,1,1,0,0
menuet,48966,6,5,1,2,menu et,1,1,1,1,1
wrenched,101882,8,7,1,2,w renched,0,1,0,1,0
visitante,27870,9,7,2,2,visit ante,0,1,0,0,0
pria,64748,4,4,0,2,p ria,1,1,1,1,1
kingdomvatican,266242,14,11,3,4,king dom v atican,0,1,0,0,0
pastores,30371,8,7,1,2,past ores,0,1,0,0,0
hephestus,14238,9,6,3,4,he p hest us,0,1,0,0,0
geschichte,763445,10,7,3,2,gesch ichte,0,0,0,0,0
geochelone,15753,10,7,3,4,ge och el one,0,0,0,0,0
flr,517704,3,3,0,2,fl r,1,1,1,1,0
moosejawoutpost,66540,15,10,5,5,mo ose jaw out post,0,0,0,0,0
tamaris,15669,7,6,1,3,t amar is,1,1,1,0,0
wonu,95417,4,4,0,2,won u,1,1,1,1,1
apeman,21550,6,5,1,2,ap eman,1,1,0,1,0
handwheel,38313,9,7,2,2,hand wheel,0,1,0,0,0
bonerz,16790,6,6,0,3,bon er z,1,1,0,1,0
mousy,46820,5,5,0,2,m ousy,1,1,1,0,0
baritone,840869,8,8,0,2,bar itone,1,1,0,0,0
photometers,28821,11,8,3,2,phot ometers,0,1,0,0,0
kray,90100,4,4,0,2,kr ay,1,1,1,0,0
lueneburg,20437,9,7,2,3,lu ene burg,0,1,0,0,0
doremus,32626,7,7,0,3,d orem us,1,1,1,1,0
ametuer,103929,7,6,1,3,am et uer,0,1,0,0,0
zodb,527090,4,4,0,2,z odb,1,1,1,0,1
oogeo,12713,5,3,2,3,o og eo,0,0,0,0,0
backstop,131744,8,8,0,2,back stop,1,1,0,1,0
liebowitz,53762,9,8,1,3,lie bow itz,0,1,0,0,0
enddo,204177,5,4,1,2,end do,1,1,0,0,0
pont,926976,4,4,0,2,p ont,1,1,1,1,0
xfrm,13048,4,4,0,2,x frm,1,1,1,1,1
supervising,1633723,11,9,2,3,sup erv ising,0,0,0,0,0
schram,109880,6,6,0,2,sch ram,1,1,0,0,1
elexa,18828,5,4,1,3,e lex a,0,1,0,1,0
entner,13572,6,4,2,2,ent ner,0,1,1,0,0
ebihara,29895,7,6,1,3,eb ih ara,1,1,0,0,0
moltgage,33321,8,7,1,3,m olt gage,0,1,0,0,0
arcetri,24822,7,6,1,2,arc etri,1,1,0,1,0
defaultinit,23387,11,9,2,2,default init,0,0,0,0,0
neighing,17412,8,5,3,3,ne igh ing,0,1,0,0,0
hudkins,36073,7,7,0,2,hud kins,1,1,1,1,1
talls,43808,5,4,1,2,t alls,0,1,0,1,1
yaa,118783,3,2,1,2,y aa,0,1,0,0,0
struttin,30881,8,6,2,3,str utt in,0,0,0,0,0
hearse,246067,6,5,1,2,he arse,1,1,0,0,1
nrinfo,12765,6,5,1,2,nr info,0,0,0,0,0
kbackgammon,15766,11,8,3,4,k back gam mon,0,0,0,0,0
kinins,19382,6,4,2,2,kin ins,1,1,1,0,0
sidekick,1161100,8,6,2,2,side kick,0,1,0,0,0
mflags,20663,6,6,0,2,m flags,1,1,1,0,0
noix,21374,4,4,0,2,no ix,1,1,1,0,1
freechat,139207,8,7,1,2,free chat,1,1,0,1,0
ueberroth,23302,9,7,2,4,ue ber ro th,0,0,1,0,0
beserk,14979,6,5,1,2,bes erk,0,1,0,0,1
fruit,22767191,5,5,0,1,fruit,1,1,1,1,0
recap,2861982,5,5,0,2,rec ap,0,1,1,1,0
sexgirl,183544,7,7,0,2,sex girl,1,1,1,1,0
goalies,256714,7,7,0,2,goal ies,1,1,1,0,0
reciepes,14872,8,6,2,3,rec ie pes,0,1,0,0,0
shelbee,54605,7,5,2,3,sh el bee,0,1,0,0,0
folkalternative,28338,15,11,4,4,fol kal tern ative,0,0,0,0,0
hidier,14741,6,5,1,2,hid ier,0,1,0,1,0
anatomically,237087,12,9,3,3,an atom ically,0,1,0,0,0
reclaimers,27503,10,8,2,3,re claim ers,1,1,0,0,1
bzw,170828,3,3,0,2,b zw,1,1,1,1,0
dped,256456,4,3,1,2,d ped,1,1,0,0,0
gsar,23351,4,4,0,2,gs ar,1,1,1,0,1
ster,293130,4,4,0,1,ster,1,1,1,1,0
chromewaves,40841,11,10,1,3,chrom ew aves,0,1,0,0,0
pickles,833360,7,7,0,2,pick les,1,1,1,0,0
tagesspiegel,17635,12,8,4,4,tag ess pie gel,0,0,0,0,0
bown,101403,4,4,0,2,b own,1,1,1,1,0
bodipedic,19500,9,7,2,4,b od iped ic,0,1,0,0,0
buddhism,3249137,8,7,1,4,b udd h ism,0,1,0,0,0
interntional,35989,12,8,4,3,inter nt ional,0,1,0,0,0
abraded,55869,7,5,2,3,ab rad ed,1,1,0,0,0
didi,205858,4,2,2,2,d idi,1,1,0,1,0
tiendas,151713,7,7,0,2,ti endas,1,1,1,0,0
thotlib,419832,7,6,1,3,th ot lib,1,1,0,0,0
nazmi,14128,5,5,0,2,naz mi,1,1,1,0,1
transm,69292,6,6,0,2,trans m,1,1,1,0,0
meadowvale,38708,10,8,2,3,me adow vale,1,1,0,0,0
schupp,40182,6,5,1,2,sch upp,0,1,1,0,0
cirrus,867450,6,5,1,2,cir rus,1,1,1,1,0
clapton,1722038,7,7,0,3,cl ap ton,1,1,1,0,0
undervotes,76105,10,9,1,3,und erv otes,0,1,0,0,0
idria,14336,5,4,1,2,id ria,1,1,0,1,0
immunosuppression,207520,17,9,8,4,imm unos up pression,0,0,0,0,0
etive,25285,5,4,1,2,et ive,0,1,0,0,1
itss,66284,4,3,1,2,it ss,0,1,1,0,0
socceroos,68164,9,5,4,4,s occ ero os,0,1,0,0,0
corixa,34247,6,6,0,2,cor ixa,1,1,1,1,0
cfrc,26439,4,3,1,2,cf rc,1,1,0,0,1
ebayers,113034,7,6,1,2,eb ayers,1,1,0,1,0
cabc,12821,4,3,1,2,c abc,1,1,0,1,1
dynaloader,24903,10,8,2,3,dyn alo ader,0,0,0,0,0
sipphone,13273,8,7,1,2,sip phone,0,1,0,0,0
strehlow,14377,8,8,0,3,st reh low,1,1,0,0,1
hutchins,559548,8,7,1,3,h utch ins,0,0,0,0,0
aradhana,14998,8,5,3,3,ar adh ana,0,1,0,0,0
hann,206884,4,3,1,2,h ann,1,1,0,0,0
furoate,25520,7,7,0,3,f uro ate,1,1,1,1,1
habang,13663,6,5,1,2,hab ang,1,1,0,1,1
chelford,14113,8,8,0,3,ch elf ord,1,1,1,1,0
curfman,26150,7,7,0,3,cur f man,1,1,1,1,1
provitamin,17220,10,9,1,2,prov itamin,0,1,0,0,0
elfriede,37204,8,6,2,3,elf ried e,1,1,0,0,1
mcardle,245344,7,7,0,3,m card le,1,1,1,1,1
silo,677145,4,4,0,2,s ilo,1,1,1,0,1
molex,379845,5,5,0,3,m ole x,1,1,1,1,1
isotachs,16551,8,7,1,3,is ot achs,0,1,0,0,0
applicaties,15546,11,8,3,4,app lic at ies,0,1,0,0,0
interrater,29969,10,6,4,3,int err ater,0,1,0,0,0
disconcertingly,20941,15,12,3,3,dis concert ingly,0,1,0,0,0
lsis,21001,4,3,1,2,ls is,1,1,0,1,1
wwwroadrunnercom,30985,16,10,6,4,www road runner com,0,0,0,0,0
astern,88234,6,6,0,2,ast ern,1,1,1,0,0
backyard,4541081,8,7,1,2,back yard,1,1,0,0,0
eyeteeth,18475,8,4,4,3,ey ete eth,0,0,0,0,0
howrah,352678,6,5,1,2,how rah,0,1,0,0,0
teche,32597,5,4,1,2,te che,1,1,0,1,0
goederen,33520,8,6,2,3,go eder en,0,1,0,0,0
ambitions,1337349,9,8,1,2,amb itions,0,1,0,1,0
guerrini,22903,8,6,2,3,gu err ini,1,1,0,0,0
diekmann,28069,8,7,1,3,die km ann,0,1,0,0,0
morado,17095,6,5,1,2,mor ado,1,1,1,0,1
airpax,19720,6,5,1,3,air p ax,1,1,0,0,1
happend,316831,7,6,1,2,h append,1,1,0,0,0
pseries,295004,7,5,2,2,p series,0,0,0,0,0
linuxinsider,200368,12,9,3,3,linux ins ider,0,1,0,0,0
scuole,60266,6,6,0,3,sc u ole,1,1,1,0,0
amarylliss,43353,10,7,3,4,am ary ll iss,0,1,0,0,0
xlispstat,16278,9,7,2,3,xl isp stat,0,0,0,0,0
ethylamine,14385,10,9,1,2,ethyl amine,0,1,0,0,0
akki,14633,4,3,1,2,ak ki,1,1,1,0,0
dormy,22337,5,5,0,3,d orm y,1,1,1,0,0
huc,188106,3,3,0,2,h uc,1,1,1,1,1
tanle,18234,5,5,0,2,tan le,1,1,1,1,1
gallerycum,22223,10,9,1,2,gallery cum,0,1,0,0,0
biomagnification,13428,16,10,6,4,bi om agn ification,0,0,0,0,0
eang,80572,4,4,0,2,e ang,1,1,1,1,1
reines,25478,6,5,1,2,re ines,0,1,1,0,1
urtica,53080,6,6,0,2,urt ica,1,1,1,0,1
documentclass,46829,13,11,2,2,document class,0,0,0,0,0
forums,158410645,6,6,0,1,forums,1,1,1,1,0
fireweed,63640,8,6,2,2,fire weed,0,1,0,0,0
nermal,17319,6,6,0,2,ner mal,1,1,1,1,0
manuring,20553,8,7,1,2,man uring,1,1,0,0,0
hautnah,14097,7,5,2,3,h aut nah,1,1,0,0,0
inligting,13205,9,5,4,3,in lig ting,0,0,0,0,0
appears,33068735,7,5,2,2,appe ars,1,1,0,0,0
paula,4650017,5,4,1,3,p aul a,1,1,0,1,1
pacsun,31057,6,6,0,3,p acs un,1,1,1,1,1
avert,767435,5,5,0,2,av ert,1,1,0,1,1
cuminblowjob,21540,12,10,2,5,c umin bl ow job,0,0,0,0,0
labate,13846,6,5,1,2,lab ate,1,1,0,1,1
latviski,79857,8,7,1,3,lat vis ki,0,1,0,1,0
bizblogs,14568,8,7,1,2,biz blogs,1,1,0,0,1
intota,19421,6,5,1,2,int ota,1,1,0,0,0
tingey,24761,6,6,0,2,ting ey,1,1,1,1,1
printout,831541,8,7,1,2,print out,0,0,0,0,0
myint,154455,5,5,0,2,my int,1,1,1,1,1
phmc,50933,4,4,0,2,ph mc,1,1,1,1,1
acomadation,63006,11,8,3,3,acom ad ation,0,1,0,0,0
hiba,22947,4,4,0,1,hiba,1,1,1,0,1
ladanyi,13717,7,6,1,3,lad any i,0,1,1,1,0
wwwexpagecom,30991,12,9,3,4,www ex page com,1,1,0,0,0
electrica,51116,9,7,2,2,elect rica,0,0,0,0,0
centrica,103049,8,7,1,2,cent rica,1,1,0,0,0
karlos,26391,6,6,0,2,kar los,1,1,1,0,1
cheng,2052211,5,5,0,1,cheng,1,1,1,0,0
soucek,15301,6,6,0,3,s ou cek,1,1,1,0,0
imat,22119,4,4,0,1,imat,1,1,1,0,0
jobsin,22275,6,6,0,2,jobs in,1,1,1,0,0
selenocysteine,31965,14,9,5,6,s elen oc yst e ine,0,0,0,0,0
facom,73157,5,5,0,2,fac om,1,1,1,1,1
rebt,18802,4,4,0,2,re bt,1,1,1,1,0
emily,8497262,5,5,0,2,em ily,1,1,1,0,0
knes,15236,4,4,0,2,k nes,1,1,1,0,0
breeds,7068459,6,5,1,2,bre eds,0,1,0,1,1
googd,13526,5,3,2,2,goog d,0,1,0,0,0
srebotnik,14737,9,9,0,4,s re bot nik,1,1,0,0,1
benihana,70943,8,6,2,3,ben ih ana,1,1,0,0,0
digiview,16085,8,6,2,3,dig iv iew,0,0,0,0,0
interceptor,787823,11,8,3,2,inter ceptor,0,1,0,0,0
farnhamville,16903,12,10,2,4,f arn ham ville,0,0,0,0,0
reassortment,14509,12,8,4,4,re ass ort ment,0,1,0,0,0
zinberg,13568,7,7,0,2,zin berg,1,1,1,1,1
trival,13129,6,6,0,2,tr ival,1,1,1,1,0
aqip,35690,4,4,0,2,aq ip,1,1,1,1,1
dkocher,282596,7,7,0,3,dk och er,1,1,1,1,0
newsburton,18495,10,9,1,3,news bur ton,1,1,0,0,0
sandwiches,2892868,10,9,1,3,sand wich es,1,1,0,0,0
frede,46846,5,4,1,2,fre de,1,1,1,1,1
kopka,15199,5,4,1,2,kop ka,1,1,0,0,0
overzicht,170737,9,9,0,3,over z icht,0,1,1,0,0
rotti,24449,5,4,1,2,rot ti,1,1,0,1,0
sealable,80953,8,5,3,3,se al able,0,0,0,0,0
labrecque,36853,9,8,1,3,lab rec que,1,1,0,0,0
tronix,68454,6,6,0,2,tron ix,1,1,1,1,0
sadiq,122961,5,5,0,3,s adi q,1,1,1,0,1
kaffee,108492,6,4,2,3,k aff ee,0,1,0,0,0
sumti,30596,5,5,0,2,sum ti,1,1,1,1,1
symmetra,56278,8,7,1,3,sym met ra,0,0,0,0,0
billingshurst,45483,13,10,3,3,bill ings hurst,0,1,0,0,0
ansul,16067,5,5,0,2,ans ul,1,1,1,1,1
postcode,4656099,8,7,1,1,postcode,0,1,0,0,0
postions,73391,8,6,2,2,post ions,0,1,0,0,0
trophozoites,23749,12,9,3,4,t roph ozo ites,0,0,0,0,0
myst,770889,4,4,0,2,m yst,1,1,1,1,0
gidon,29777,5,5,0,2,gid on,1,1,1,1,0
selecciones,14515,11,7,4,3,se le cciones,0,0,0,0,0
arlines,48897,7,7,0,2,ar lines,1,1,1,0,0
inwo,18805,4,4,0,2,in wo,1,1,1,1,1
sparxx,77160,6,5,1,2,spar xx,1,1,1,0,0
cormorant,282299,9,7,2,4,c orm or ant,1,1,0,1,1
elvy,16496,4,4,0,2,el vy,1,1,1,1,0
asiamaya,40459,8,5,3,3,as iam aya,0,1,0,0,0
vaquero,67148,7,7,0,3,va qu ero,1,1,1,1,1
icmb,20023,4,4,0,2,ic mb,1,1,1,1,1
winbindd,26146,8,5,3,3,win bind d,0,0,0,0,0
trens,14026,5,5,0,2,t rens,1,1,1,0,0
unnerves,14424,8,6,2,2,unn erves,1,1,0,0,0
annat,53865,5,3,2,2,ann at,1,1,1,1,0
busk,52025,4,4,0,2,bus k,1,1,1,1,1
axley,23027,5,5,0,2,ax ley,1,1,1,0,1
nongrant,15443,8,6,2,3,n ong rant,0,0,0,0,0
avenida,568464,7,6,1,2,aven ida,0,1,0,0,0
limestone,2372437,9,8,1,2,l imestone,0,1,0,0,0
philippoussis,44632,13,7,6,5,phil ipp ou ss is,0,0,0,0,0
bulverde,67975,8,7,1,3,bul ver de,0,1,0,0,0
waterfronts,44445,11,9,2,3,water front s,0,1,0,0,0
sadistic,471896,8,6,2,2,sad istic,0,1,0,0,0
nelson,15060628,6,5,1,2,nel son,1,1,0,0,0
therry,16212,6,5,1,2,th erry,1,1,1,0,0
pensively,28533,9,8,1,2,p ensively,0,1,1,0,1
tehanu,22405,6,6,0,3,te han u,1,1,1,0,1
macdougall,204196,10,8,2,4,mac d oug all,1,1,0,0,0
fritch,57385,6,6,0,2,f ritch,1,1,1,1,1
hampering,168428,9,9,0,2,ham pering,1,1,0,0,1
surething,25412,9,9,0,2,sure thing,1,0,0,1,0
orbiting,554479,8,7,1,2,orbit ing,0,1,0,1,0
pacvia,17789,6,5,1,2,pac via,1,1,0,0,0
willich,17483,7,5,2,2,wil lich,0,1,0,0,0
cosmin,33027,6,6,0,2,cos min,1,1,1,1,0
gallerycoreapi,13589,14,10,4,3,gallery core api,0,1,0,0,0
capps,388670,5,4,1,2,c apps,1,1,0,1,0
arbo,32903,4,4,0,2,ar bo,1,1,1,0,0
leonetto,65976,8,5,3,2,leon etto,0,0,1,0,0
imperative,2618155,10,8,2,3,im per ative,0,1,0,0,0
wellesley,1240700,9,5,4,3,w elles ley,0,0,0,0,0
showbuzz,15316,8,7,1,2,show buzz,0,0,0,0,0
aermod,19267,6,6,0,3,a er mod,1,1,1,1,1
kozani,37282,6,6,0,3,ko z ani,1,1,1,0,1
fumaric,28247,7,7,0,3,f umar ic,1,1,1,0,0
seagal,176106,6,5,1,2,se agal,1,1,0,0,0
thenceforth,63862,11,8,3,3,th ence forth,0,1,0,0,0
hostiles,32533,8,7,1,2,host iles,1,1,0,0,0
maccallum,93743,9,5,4,4,m acc all um,0,0,0,0,0
hydromax,15545,8,8,0,4,hy d rom ax,1,1,1,0,1
servizio,378978,8,7,1,2,serv izio,0,1,0,0,0
americas,8389582,8,7,1,3,am eric as,1,1,0,1,0
tylersville,13569,11,8,3,3,ty lers ville,0,0,0,0,0
ghat,73045,4,4,0,2,gh at,1,1,1,1,1
mestas,13629,6,5,1,3,m est as,1,1,0,1,0
rekindled,136039,9,7,2,3,re kind led,0,1,0,0,0
satelite,925870,8,6,2,2,sat elite,0,1,0,0,0
cryptosporidium,279461,15,11,4,5,crypt os por id ium,0,0,0,0,0
alleviate,1640342,9,6,3,3,al lev iate,1,1,0,0,1
seaboard,501160,8,7,1,3,se ab oard,0,1,0,0,0
vitanet,231599,7,6,1,3,v itan et,1,1,1,0,0
gnats,527105,5,5,0,2,gn ats,1,1,1,0,0
manitowaning,15210,12,8,4,4,man it ow aning,0,1,0,0,0
pretende,23094,8,6,2,2,pret ende,0,1,0,0,0
djc,85344,3,3,0,2,d jc,1,1,1,1,1
cronulla,259450,8,7,1,2,cron ulla,0,1,0,0,0
getrequest,21749,10,7,3,2,get request,0,1,0,0,0
kannst,100385,6,5,1,3,k ann st,0,1,1,0,0
pftp,16882,4,3,1,2,p ftp,1,1,0,0,0
monisha,62702,7,7,0,2,mon isha,1,1,1,0,1
vendus,14582,6,6,0,3,v end us,1,1,1,0,0
gingerly,165571,8,7,1,3,ging er ly,1,1,0,0,0
euglena,43788,7,6,1,3,e ug lena,1,1,0,0,1
orcp,13516,4,4,0,2,or cp,1,1,1,1,1
gethash,13090,7,6,1,2,get hash,0,0,0,0,0
oberth,12851,6,6,0,2,ober th,1,1,1,1,0
caudatus,22041,8,6,2,3,ca ud atus,1,1,0,0,0
opium,1330299,5,5,0,2,op ium,1,1,0,0,0
connectorized,24356,13,9,4,2,connector ized,0,0,0,0,0
tanji,18879,5,5,0,2,tan ji,1,1,1,1,0
annihilates,35374,11,8,3,3,ann ihil ates,0,0,0,0,0
ponderosa,521564,9,8,1,2,ponder osa,1,1,0,1,1
ceeb,29904,4,3,1,2,ce eb,0,1,1,0,1
phnl,20994,4,4,0,2,ph nl,1,1,1,1,1
josi,26298,4,4,0,2,j osi,1,1,1,0,1
hornsey,107307,7,7,0,2,horn sey,1,1,1,1,0
diastole,49564,8,8,0,3,di ast ole,1,1,1,0,0
bluemoon,179083,8,7,1,4,bl u emo on,1,1,0,0,0
terrel,36626,6,4,2,2,ter rel,0,1,0,0,0
rstes,26708,5,4,1,2,rst es,1,1,0,1,0
organizationally,86339,16,10,6,2,organization ally,0,0,0,0,0
occupations,5980975,11,9,2,2,occup ations,0,1,0,0,0
ausgezogen,18452,10,8,2,4,aus ge z ogen,0,0,0,0,0
kassar,14523,6,4,2,3,k ass ar,1,1,1,0,0
enervating,21401,10,8,2,3,en erv ating,1,1,0,0,0
evaluatable,81297,11,7,4,3,eval u atable,0,0,0,0,0
mgj,69122,3,3,0,2,mg j,1,1,1,1,1
looe,135123,4,3,1,2,lo oe,1,1,1,0,0
inma,30767,4,4,0,2,in ma,1,1,1,1,1
solvable,282612,8,7,1,2,sol vable,0,0,0,0,0
caratunk,20044,8,7,1,3,car at unk,1,1,0,0,0
butoh,38293,5,5,0,3,b uto h,1,1,1,1,1
harrassowitz,16674,12,9,3,3,h arrass owitz,1,1,1,0,0
correlations,2193131,12,10,2,2,cor relations,0,1,0,0,0
uncool,147892,6,5,1,2,un cool,0,1,0,1,0
hudnall,65152,7,6,1,3,hud n all,0,1,0,0,0
majoritarian,63744,12,8,4,2,major itarian,0,1,0,0,0
balma,16483,5,4,1,2,bal ma,1,1,0,1,1
aulis,33352,5,5,0,2,aul is,1,1,1,1,1
isoid,28996,5,4,1,2,is oid,0,1,0,0,0
nije,57665,4,4,0,2,n ije,1,1,1,0,1
tonge,104389,5,5,0,3,t ong e,1,1,1,1,1
meningioma,111148,10,7,3,4,men ing i oma,0,1,0,0,0
subjective,5068230,10,9,1,2,subject ive,0,1,0,0,0
caracters,19141,9,6,3,2,car acters,0,1,0,0,0
nmmu,24807,4,3,1,3,n mm u,1,1,0,0,0
wappinger,19741,9,8,1,3,w apping er,0,1,0,0,0
packrats,17828,8,7,1,2,pack rats,1,1,0,0,0
glucotrol,47047,9,7,2,4,gl uc ot rol,0,0,0,0,0
hillcrest,827097,9,8,1,2,hill crest,1,1,0,1,0
gandhian,45534,8,6,2,4,g and h ian,1,1,0,0,0
supertramp,276107,10,8,2,3,super tr amp,0,1,0,0,0
insley,32172,6,6,0,2,ins ley,1,1,1,0,1
mcbs,26558,4,4,0,2,mc bs,1,1,1,1,1
licola,13455,6,5,1,2,lic ola,1,1,0,0,0
chainsaw,1082641,8,7,1,2,chains aw,0,1,0,0,0
mlps,25452,4,4,0,2,ml ps,1,1,1,0,1
continu,176690,7,6,1,2,contin u,1,1,0,0,0
janzen,166013,6,5,1,2,jan zen,1,1,0,1,0
ballasts,384703,8,5,3,2,ball asts,1,1,0,0,0
hexadecimal,849815,11,9,2,2,hex adecimal,0,1,0,0,0
unashamedly,77439,11,10,1,4,un ash amed ly,1,1,0,1,0
atencio,30098,7,7,0,3,at enc io,0,1,1,1,0
invid,15398,5,4,1,2,in vid,0,0,0,0,0
baccus,57786,6,5,1,3,b acc us,0,1,0,0,0
bachman,397606,7,6,1,2,bach man,1,1,0,0,1
clipes,23334,6,6,0,2,clip es,1,1,1,0,1
parimutuel,26032,10,9,1,4,par im ut uel,1,1,0,0,0
instar,137815,6,6,0,2,inst ar,1,1,0,0,0
atallah,32037,7,4,3,2,at allah,1,1,0,0,0
whizlabs,81570,8,8,0,3,wh iz labs,1,1,1,1,0
perscription,889926,12,9,3,2,pers cription,0,0,0,0,0
tunks,16637,5,5,0,2,t unks,1,1,1,1,1
paulsson,21308,8,7,1,3,p aul sson,1,1,0,1,0
oldgold,21140,7,4,3,2,old gold,0,1,0,0,0
hijackfree,25171,10,9,1,4,h ij ack free,1,1,0,0,0
cmdbs,61364,5,5,0,2,cmd bs,1,1,1,1,1
clusaz,65969,6,6,0,2,clus az,1,1,1,0,1
arnoch,15935,6,6,0,2,arn och,1,1,0,0,1
inscribed,1082744,9,8,1,2,ins cribed,0,0,0,1,0
reprogramming,202126,13,9,4,2,re programming,0,1,0,0,0
ischgl,60213,6,6,0,2,isch gl,1,1,0,1,1
fjola,60240,5,5,0,3,f j ola,1,1,1,1,0
lintas,15005,6,6,0,2,lint as,1,1,1,1,1
dsi,578890,3,3,0,2,ds i,1,1,1,1,0
eindiatourism,16982,13,11,2,5,e ind iat our ism,0,0,0,0,0
